time,open,high,low,close,volume
2021-02-23 10:53:00,189.29,190.0,189.1001,189.225,22223
2021-02-23 10:52:00,190.82,190.82,189.1001,189.11,10800
2021-02-23 10:51:00,191.15,191.2,190.19,190.5425,12387
2021-02-23 10:50:00,190.875,191.5973,190.715,191.3639,21020
2021-02-23 10:49:00,190.5925,191.67,190.5201,190.9,18307
2021-02-23 10:48:00,190.47,191.0,190.2901,190.546,11018
2021-02-23 10:47:00,190.8,191.0,190.0001,190.41,20832
2021-02-23 10:46:00,188.96,190.89,188.96,190.86,23477
2021-02-23 10:45:00,188.47,188.95,188.2,188.8719,11581
2021-02-23 10:44:00,188.2,188.49,188.1634,188.2901,12785
2021-02-23 10:43:00,188.06,188.22,187.9901,188.15,35418
2021-02-23 10:42:00,187.76,188.2077,187.68,188.06,10769
2021-02-23 10:41:00,187.855,188.0466,187.61,187.76,12507
2021-02-23 10:40:00,187.9,188.14,187.62,187.764,6819
2021-02-23 10:39:00,188.075,188.355,187.9,188.0,10428
2021-02-23 10:38:00,187.3,188.0233,187.25,187.8925,11164
2021-02-23 10:37:00,187.4,187.7752,187.09,187.4899,8947
2021-02-23 10:36:00,187.56,187.97,187.1299,187.43,11327
2021-02-23 10:35:00,187.285,187.845,187.17,187.52,12292
2021-02-23 10:34:00,187.745,187.8877,187.0,187.355,43713
2021-02-23 10:33:00,187.9349,187.99,187.01,187.5001,36101
2021-02-23 10:32:00,187.395,187.63,187.24,187.63,6955
2021-02-23 10:31:00,188.5685,188.5685,187.0401,187.57,7833
2021-02-23 10:30:00,188.09,188.8099,187.53,188.0,18294
2021-02-23 10:29:00,188.815,188.88,188.08,188.19,34687
2021-02-23 10:28:00,188.93,189.04,188.0001,188.79,36291
2021-02-23 10:27:00,187.745,189.0,187.745,188.98,23308
2021-02-23 10:26:00,186.82,188.0,186.6936,187.83,23589
2021-02-23 10:25:00,186.105,186.91,185.8801,186.82,20462
2021-02-23 10:24:00,184.97,186.35,184.8774,186.18,16400
2021-02-23 10:23:00,183.82,184.88,183.57,184.5,25787
2021-02-23 10:22:00,183.37,184.08,183.37,183.69,12432
2021-02-23 10:21:00,183.91,184.06,183.0,183.71,23240
2021-02-23 10:20:00,183.97,184.58,183.76,183.91,16306
2021-02-23 10:19:00,185.17,185.17,183.26,183.975,27822
2021-02-23 10:18:00,185.9899,186.46,184.75,185.17,17843
2021-02-23 10:17:00,185.26,185.98,185.115,185.98,13502
2021-02-23 10:16:00,185.5,185.6837,184.92,185.115,18262
2021-02-23 10:15:00,185.345,185.98,185.21,185.645,20635
2021-02-23 10:14:00,185.3898,186.5399,185.0,185.4046,15949
2021-02-23 10:13:00,186.555,186.9399,185.01,185.5,57314
2021-02-23 10:12:00,185.39,186.56,185.2201,186.555,21280
2021-02-23 10:11:00,185.63,185.63,184.4,185.36,30901
2021-02-23 10:10:00,186.675,186.8,185.66,185.66,25850
2021-02-23 10:09:00,184.99,186.85,184.99,186.4201,24471
2021-02-23 10:08:00,184.175,185.47,184.175,184.76,21596
2021-02-23 10:07:00,184.5,184.5,183.5,184.36,27532
2021-02-23 10:06:00,186.14,186.18,184.5,184.5,24789
2021-02-23 10:05:00,184.66,186.3499,184.57,186.14,24900
2021-02-23 10:04:00,185.4,185.62,184.5,184.78,25160
2021-02-23 10:03:00,186.0,186.0,184.5001,185.52,32421
2021-02-23 10:02:00,183.0201,186.79,183.0201,186.0,37765
2021-02-23 10:01:00,184.2806,184.7348,182.7,183.08,35409
2021-02-23 10:00:00,182.74,184.7499,182.54,184.376,43940
2021-02-23 09:59:00,181.4601,182.94,181.4601,182.75,39822
2021-02-23 09:58:00,180.0301,181.9,180.0001,181.9,42340
2021-02-23 09:57:00,179.834,180.285,179.62,180.285,41711
2021-02-23 09:56:00,179.64,179.98,179.55,179.77,18112
2021-02-23 09:55:00,178.12,179.73,178.05,179.555,36450
2021-02-23 09:54:00,179.17,179.31,177.01,177.97,41076
2021-02-23 09:53:00,179.32,179.66,179.0101,179.1001,26900
2021-02-23 09:52:00,176.48,179.0,176.4601,179.0,33296
2021-02-23 09:51:00,176.0,176.72,175.66,176.6,35059
2021-02-23 09:50:00,175.08,176.12,175.0,176.1053,58323
2021-02-23 09:49:00,175.06,175.62,175.0,175.16,42965
2021-02-23 09:48:00,175.77,176.84,175.0,175.085,67264
2021-02-23 09:47:00,176.7,177.04,175.5,175.62,75440
2021-02-23 09:46:00,179.12,179.19,176.11,176.88,79462
2021-02-23 09:45:00,180.373,181.17,179.01,179.555,106325
2021-02-23 09:44:00,182.33,182.7499,180.12,180.35,45543
2021-02-23 09:43:00,182.69,183.615,182.34,182.54,42293
2021-02-23 09:42:00,182.86,183.2421,181.77,182.425,35832
2021-02-23 09:41:00,181.405,183.5508,181.1601,183.5508,42068
2021-02-23 09:40:00,181.23,181.6799,181.0,181.67,49205
2021-02-23 09:39:00,181.55,181.65,180.98,181.16,51868
2021-02-23 09:38:00,182.62,182.76,181.78,181.78,51648
2021-02-23 09:37:00,184.0,184.5135,182.31,182.9899,36908
2021-02-23 09:36:00,186.03,186.8099,184.05,184.05,23224
2021-02-23 09:35:00,185.408,186.0,183.48,186.0,75086
2021-02-23 09:34:00,185.555,187.41,185.1,185.44,38467
2021-02-23 09:33:00,186.315,187.1707,185.1,185.4652,71549
2021-02-23 09:32:00,186.95,187.51,186.0196,186.34,26576
2021-02-23 09:31:00,189.0,189.21,186.79,186.79,186219
2021-02-23 09:30:00,188.84,189.0,188.79,188.79,1036
2021-02-23 09:29:00,188.0,188.6,188.0,188.6,1402
2021-02-23 09:27:00,188.0,188.0,188.0,188.0,498
2021-02-23 09:26:00,187.5,188.0,187.5,188.0,533
2021-02-23 09:25:00,187.22,188.0,187.22,188.0,1451
